Component/Office,Request Number,Is Consultation,Days Allowed,Exemption 3 Statutes,Type(s) of Info Withheld,Case Citation(s),Dates Initially Received,Perfected,Completed,Days Tolled,Track,Disposition,Disposition Reasons,Exemption(s) Applied,Appeal Date Received,Date Closed,Appeal Disposition,Appeal Reasons,Appeal Exemption(s) Applied,Exp. Date Received,Exp. Date of Determination,Exp. Granted/Denied,Fee Date Received,Fee Date of Determination,Fee Granted/Denied,Amount of Fees Collected
CIA,157711,N,,,,,7/9/2008,,,,Simple,,,,,,,,,,,,,,,
CIA,158289,N,,,,,3/8/2002,,4/17/2006,,Simple,Cancelled,,,10/12/2017,,,,,,,,,,,
CIA,160424,N,,,,,12/23/2008,,,,Simple,,,,,,,,,,,,,,,
CIA,160960,N,,CIA Act;,,,2/9/2009,,8/16/2019,,Complex,Granted in Part,,(b)(1); (b)(2); (b)(3); (b)(3) CIAAct; (b)(5); (b)(6);,,,,,,,,,,,,
CIA,161398,N,,,,,3/11/2009,,7/9/2014,,Complex,Granted in Part,,(b)(1); (b)(3);,7/23/2014,4/4/2019,Appeal Partially Granted,,(b)(1); (b)(3); JFK (1)(a); JFK (1)(b); sub05;,,,,,,,
CIA,161684,N,,,,,3/26/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,161745,N,,,,,3/31/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,161994,N,,,,,4/15/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,162345,N,,,,,5/5/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,506328,N,,,,,2/25/2004,,4/10/2013,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(5); (b)(6); (j)(1); (k)(1);,4/30/2013,,,,,,,,,,,
CIA,506565,N,,,,,7/10/2003,,2/15/2013,,Simple,Granted in Part,,(b)(1); (b)(3); (b)(6);,4/10/2013,,,,,,,,,,,
CIA,506570,N,,,,,12/29/2003,,5/16/2013,,Complex,Granted in Part,,(b)(1); (b)(2); (b)(3); (b)(5); (b)(6); NR;,7/19/2013,,,,,,,,,,,
CIA,508194,N,,,,,5/21/1996,,9/29/2008,,Complex,Granted in Part,,(b)(1); (b)(3);,11/19/2008,3/25/2019,Cancelled,Withdrawn,,,,,,,,
CIA,509572,N,,,,,3/14/2006,,3/28/2007,,Simple,Granted in Part,,(b)(1); (b)(2); (b)(3); (b)(5); (b)(7)(a);,4/16/2007,,,,,,,,,,,
CIA,510786,N,,,,,8/5/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,510878,N,,,,,8/12/2009,,5/15/2014,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6);,6/25/2014,,,,,,,Granted,,,,
CIA,511758,N,,,,,10/9/2009,,8/16/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,511760,N,,,,,10/9/2009,,12/14/2012,,Complex,No Records Located,,,3/7/2013,,,,,,,,,,,
CIA,511987,N,,,,,10/28/2009,,1/7/2019,,Complex,Granted in Part,,(b)(1); (b)(2); (b)(3); (b)(5); (b)(6); (b)(7)(a);,,,,,,,,,,,,
CIA,512720,N,,,,,12/18/2009,,10/18/2018,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,22.8
CIA,513192,N,,,,,2/1/2010,,,,Simple,,,,,,,,,,,,,,,
CIA,514365,N,,,,,4/9/2010,,10/19/2018,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,515266,N,,,,,6/2/2010,,6/8/2010,,Simple,Denied in Full,,(b)(1); (b)(3);,8/3/2010,5/30/2019,Appeal Partially Granted,,(b)(1); (b)(2); (b)(3); (b)(6); 3.3(h)(1); NR;,,,,,,,
CIA,515514,N,,,,,6/11/2010,,,,Simple,,,,,,,,,,,,,,,
CIA,515922,N,,,,,7/6/2010,,2/19/2014,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(4); (b)(5); (b)(6);,4/29/2014,,,,,,,,,,,
CIA,516023,N,,,,,7/12/2010,,4/2/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6); EO 12958 6.2(c);,,,,,,,,,,,,50.1
CIA,516493,N,,,,,8/4/2010,,4/19/2018,,Complex,Granted in Part,,(b)(1); (b)(3);,6/21/2018,,,,,,,,,,,
CIA,516723,N,,,,,8/19/2010,,8/30/2012,,Complex,Granted in Part,,(b)(3); (b)(5); (b)(6);,9/10/2012,,,,,,,,,,,
CIA,518178,N,,,,,10/29/2010,,4/10/2019,,Complex,Granted in Part,,(b)(3); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,518253,N,,,,,11/3/2010,,,,Simple,,,,,,,,,,,,,,,
CIA,518555,N,,,,,11/22/2010,,9/5/2013,,Complex,Granted in Part,,(b)(3); (b)(5);,11/7/2013,,,,,,,,,,,
CIA,518721,N,,,,,12/1/2010,,,,Simple,,,,,,,,,,,,,,,
CIA,519263,N,,,,,1/4/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,519365,N,,,,,1/6/2011,,1/6/2011,,Simple,Cancelled,Other Explained,,1/6/2011,,,,,,,,,,,
CIA,519574,N,,,,,1/20/2011,,,,Simple,,,,,,,,,,,Denied,,,,
CIA,519970,N,,,,,2/16/2011,,7/12/2013,,Complex,Denied in Full,,(b)(3);,9/25/2013,9/10/2019,Appeal Partially Granted,,(b)(3);,,,,,,,
CIA,520677,N,,,,,3/24/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,520883,N,,,,,4/6/2011,,8/6/2019,,Simple,Cancelled,Unable to Contact or Locate Requester,,,,,,,,,,,,,
CIA,520993,N,,,,,4/11/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521029,N,,,,,4/13/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521192,N,,,,,4/21/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521471,N,,,,,5/4/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521472,N,,,,,5/4/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521479,N,,,,,5/4/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521496,N,,,,,5/4/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521524,N,,,,,5/5/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521554,N,,,,,5/6/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521628,N,,,,,5/9/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521657,N,,,,,5/10/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521662,N,,,,,5/11/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521663,N,,,,,5/11/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521664,N,,,,,5/11/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521683,N,,,,,5/11/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521721,N,,,,,5/16/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521873,N,,,,,5/24/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521971,N,,,,,5/26/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,521974,N,,,,,5/26/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,522169,N,,,,,6/6/2011,,,,Simple,,,,,,,,,1/7/2015,,,,,,
CIA,522561,N,,,,,6/28/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,523302,N,,,,,8/5/2011,,4/10/2019,,Complex,Granted in Part,,(b)(3); (b)(6);,,,,,,,,,,,,
CIA,523660,N,,,,,8/26/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,523749,N,,,,,9/1/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,523793,N,,,,,9/6/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,524015,N,,,,,9/14/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,524016,N,,,,,9/14/2011,,6/28/2013,,Complex,No Records Located,,,9/25/2013,,,,,,,,,,,
CIA,524017,N,,,,,9/14/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,524018,N,,,,,9/14/2011,,11/13/2014,,Complex,Granted in Part,,(b)(3);,1/26/2015,,,,,,,,,,,
CIA,524019,N,,,,,9/14/2011,,11/8/2013,,Complex,No Records Located,,,1/23/2014,,,,,,,,,,,
CIA,524020,N,,,,,9/14/2011,,7/12/2013,,Complex,No Records Located,,,9/25/2013,,,,,,,,,,,
CIA,524021,N,,,,,9/14/2011,,7/12/2013,,Complex,No Records Located,,,9/25/2013,,,,,,,,,,,
CIA,524022,N,,,,,9/14/2011,,7/12/2013,,Complex,No Records Located,,,9/25/2013,,,,,,,,,,,
CIA,524024,N,,,,,9/14/2011,,7/12/2013,,Complex,No Records Located,,,9/25/2013,,,,,,,,,,,
CIA,524027,N,,,,,9/14/2011,,7/12/2013,,Complex,No Records Located,,,9/25/2013,,,,,,,,,,,
CIA,524028,N,,,,,9/14/2011,,8/21/2013,,Complex,No Records Located,,,10/22/2013,,,,,,,,,,,
CIA,524029,N,,,,,9/14/2011,,7/12/2013,,Complex,No Records Located,,,9/25/2013,,,,,,,,,,,
CIA,524030,N,,,,,9/14/2011,,7/12/2013,,Complex,No Records Located,,,9/25/2013,,,,,,,,,,,
CIA,524033,N,,,,,9/14/2011,,8/7/2013,,Complex,No Records Located,,,10/22/2013,,,,,,,,,,,
CIA,524035,N,,,,,9/14/2011,,9/23/2013,,Complex,No Records Located,,,10/22/2013,,,,,,,,,,,
CIA,524036,N,,,,,9/14/2011,,12/2/2015,,Complex,Granted in Part,,(b)(3); (b)(5); (b)(6);,12/9/2015,,,,,,,,,,,
CIA,524037,N,,,,,9/14/2011,,11/8/2013,,Complex,No Records Located,,,1/23/2014,,,,,,,,,,,
CIA,524038,N,,,,,9/14/2011,,8/7/2013,,Complex,No Records Located,,,10/22/2013,,,,,,,,,,,
CIA,524041,N,,,,,9/14/2011,,8/7/2013,,Complex,No Records Located,,,10/22/2013,,,,,,,,,,,
CIA,524042,N,,,,,9/14/2011,,8/7/2013,,Complex,No Records Located,,,10/22/2013,,,,,,,,,,,
CIA,524043,N,,,,,9/14/2011,,11/8/2013,,Complex,No Records Located,,,1/23/2014,,,,,,,,,,,
CIA,524410,N,,,,,10/6/2011,,10/25/2011,,Complex,Denied in Full,,(b)(1); (b)(3); (j)(1); (k)(1);,1/6/2012,,,,,,,,,,,
CIA,524699,N,,,,,10/18/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,524998,N,,,,,11/2/2011,,12/11/2017,,Complex,Granted in Part,,(b)(1); (b)(3);,2/28/2018,,,,,,,,,,,
CIA,525342,N,,,,,11/15/2011,,,,Complex,,,,,,,,,,,,,,,
CIA,525473,N,,,,,11/21/2011,,,,Simple,,,,,,,,,,,,,,,
CIA,526182,N,,,,,1/3/2012,,,,Complex,,,,,,,,,,,,,,,
CIA,526533,N,,,,,1/23/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,527155,N,,,,,2/22/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,527193,N,,National Security Act;,,,2/23/2012,,5/29/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(3) NatSecAct; (b)(5);,,,,,,,,,,,,
CIA,527409,N,,,,,3/6/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,527562,N,,,,,3/9/2012,,8/6/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,528007,N,,,,,3/23/2012,,4/10/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,528025,N,,,,,3/27/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,528487,N,,,,,4/10/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,528552,N,,,,,4/12/2012,,,,Complex,,,,,,,,,,,,,,,
CIA,529422,N,,,,,5/21/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,529529,N,,,,,5/24/2012,,3/26/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6); (b)(7)(c); (b)(7)(d); (b)(7)(e); (d)(5); (j)(1); (k)(1); (k)(2); (k)(5); DISC;,,,,,,,,,,,,
CIA,529639,N,,,,,6/1/2012,,4/3/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (j)(1); (k)(1);,,,,,,,,,,,,
CIA,529885,N,,,,,6/12/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,529902,N,,,,,6/13/2012,,10/12/2016,,Complex,Granted in Part,,(b)(3); (b)(5); (b)(6);,11/1/2016,,,,,,,,,,,
CIA,529929,N,,,,,6/13/2012,,6/21/2012,,Complex,Denied in Full,,(b)(1); (b)(3);,7/10/2012,8/28/2019,Appeal Fully Denied,,,,,Denied,,,,
CIA,529937,N,,,,,6/13/2012,,3/19/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (b)(7)(e); (d)(5); (j)(1); (k)(1); (k)(2); DISC;,,,,,,,,,,,,
CIA,530000,N,,,,,6/18/2012,,10/23/2014,,Complex,Granted in Part,,(b)(3); (b)(5); (b)(6);,12/23/2014,,,,,,,,,,,
CIA,530152,N,,,,,6/26/2012,,9/17/2012,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(5); (b)(6);,11/20/2012,,,,,,,,,,,
CIA,530197,N,,,,,6/28/2012,,11/26/2013,,Complex,Granted in Part,,(b)(3); (b)(5);,2/6/2014,,,,,,,,,,,
CIA,530666,N,,,,,7/19/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,530799,N,,,,,7/26/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,530908,N,,,,,8/1/2012,,9/11/2012,,Simple,Granted in Full,,,10/9/2012,,,,,,,,,,,
CIA,530974,N,,,,,8/6/2012,,2/13/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6);,,,,,,,,,,,,
CIA,531286,N,,,,,8/16/2012,,6/24/2019,,Complex,Denied in Full,,(b)(3); (b)(5);,,,,,,,,,8/16/2012,9/26/2012,Denied,
CIA,531849,N,,,,,9/19/2012,,,,Complex,,,,,,,,,,,,,,,
CIA,531853,N,,,,,9/19/2012,,,,Complex,,,,,,,,,,,,,,,
CIA,531961,N,,,,,9/27/2012,,1/7/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(4); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,531965,N,,,,,9/27/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,532423,N,,,,,10/16/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,532439,N,,,,,10/17/2012,,5/10/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6); (j)(1); (k)(1); DISC;,,,,,,,,,,,,
CIA,532580,N,,,,,10/23/2012,,8/21/2013,,Complex,Denied in Full,,(b)(3);,10/22/2013,,,,,,,,,,,
CIA,532635,N,,,,,10/25/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,532692,N,,,,,10/30/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,532709,N,,,,,10/31/2012,,12/30/2013,,Complex,Granted in Part,,(b)(3); (b)(4); (b)(6);,1/16/2014,,,,,,,,,,,
CIA,532867,N,,,,,11/7/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,532960,N,,,,,11/9/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,533142,N,,,,,11/20/2012,,,,Simple,,,(b)(1); (b)(3); (b)(6);,,,,,,,,,,,,
CIA,533198,N,,,,,11/23/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,533313,N,,,,,11/29/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,533777,N,,,,,12/18/2012,,,,Complex,,,,,,,,,,,,,,,
CIA,533785,N,,,,,12/18/2012,,,,Simple,,,,,,,,,,,,,,,
CIA,533996,N,,,,,1/3/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,534266,N,,National Security Act;,,,1/17/2013,,4/15/2019,,Complex,Denied in Full,,(b)(3); (b)(3) NatSecAct; (b)(6);,,,,,,,,,,,,
CIA,534405,N,,,,,1/24/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,534508,N,,,,,1/31/2013,,5/16/2019,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(6);,,,,,,,,,,,,
CIA,534632,N,,,,,2/6/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,534721,N,,,,,2/7/2013,,,,Simple,,,,,,,,,,,,2/7/2013,7/30/2014,Granted,
CIA,535008,N,,,,,2/19/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,535245,N,,,,,2/26/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,535295,N,,,,,2/27/2013,,2/11/2014,,Complex,Denied in Full,,(b)(1); (b)(3);,4/2/2014,,,,,,,,,,,
CIA,535409,N,,,,,3/4/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,535413,N,,,,,3/4/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,536246,N,,,,,4/4/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,536305,N,,,,,4/4/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,536500,N,,,,,4/12/2013,,8/27/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6); (b)(7)(a); (b)(7)(d); (d)(5); (j)(1); (k)(1); (k)(2); (k)(5); DISC;,,,,,,,,,,,,
CIA,536501,N,,,,,4/12/2013,,5/29/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,536804,N,,,,,4/25/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,536890,N,,,,,4/30/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,536891,N,,,,,4/30/2013,,10/31/2013,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6);,1/9/2014,,,,,,,,,,,
CIA,537334,N,,,,,5/16/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,537383,N,,,,,5/20/2013,,1/8/2014,,Complex,Denied in Full,,(b)(1); (b)(3); (j)(1); (k)(1);,2/18/2014,,,,,,,,,,,
CIA,537559,N,,,,,5/24/2013,,,,Simple,,,(b)(1); (b)(3); (b)(6);,,,,,,,,,,,,
CIA,537614,N,,,,,5/29/2013,,,,Complex,,,(b)(1); (b)(3); (b)(6); (b)(7)(c); (j)(1); (k)(1); (k)(2);,,,,,,,,,,,,
CIA,537761,N,,,,,6/4/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,537773,N,,,,,6/5/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,537930,N,,,,,6/13/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,538013,N,,,,,6/18/2013,,8/9/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (j)(1); (k)(1); DISC; NR;,,,,,,,,,,,,
CIA,538214,N,,,,,6/24/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,538263,N,,,,,6/27/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,538299,N,,,,,7/1/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,538604,N,,,,,7/9/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,538733,N,,,,,7/16/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,538743,N,,,,,7/16/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,538795,N,,,,,7/16/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,539378,N,,,,,7/25/2013,,8/9/2018,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6);,11/7/2018,,,,,,,,,,,71.9
CIA,539518,N,,,,,7/29/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,539542,N,,,,,7/29/2013,,,,Simple,,,,,,,,,,,,7/29/2013,8/13/2013,Granted,
CIA,539725,N,,,,,7/31/2013,,12/4/2018,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(6);,,,,,,,,,,,,
CIA,539846,N,,,,,8/5/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,539850,N,,,,,8/5/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,539910,N,,,,,8/7/2013,,4/10/2019,,Complex,Granted in Part,,(b)(3); (b)(4); (b)(6);,,,,,,,,,,,,
CIA,539988,N,,,,,8/12/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,540001,N,,,,,8/12/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,540371,N,,,,,8/26/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,540385,N,,,,,8/27/2013,,6/18/2014,,Simple,Granted in Part,,(b)(1); (b)(3);,8/8/2014,,,,,,,,,,,
CIA,540398,N,,,,,8/27/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,540707,N,,,,,9/9/2013,,2/13/2019,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(6);,,,,,,,,,,,,
CIA,540733,N,,,,,9/9/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,540785,N,,,,,9/10/2013,,3/25/2014,,Complex,Granted in Part,,(b)(3);,3/31/2014,,,,,,,,,,,
CIA,540882,N,,,,,9/13/2013,,3/25/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (b)(7)(c); (b)(7)(d); 1.4(c);,,,,,,,,,,,,
CIA,540884,N,,,,,9/13/2013,,3/25/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(7)(c); (b)(7)(d);,,,,,,,,,,,,
CIA,540894,N,,,,,9/16/2013,,,,Simple,,,(b)(3); (b)(4); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,540910,N,,,,,9/16/2013,,9/20/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6); (j)(1); (k)(1); DISC;,,,,,,,,,,,,
CIA,541004,N,,,,,9/20/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,541014,N,,,,,9/20/2013,,8/28/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (j)(1); (k)(1); DISC;,,,,,,,,,,,,
CIA,541070,N,,CIA Act;,,,9/26/2013,,5/20/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(3) CIAAct; (b)(6);,,,,,,,,,,,,
CIA,541187,N,,,,,9/30/2013,,9/18/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6); (b)(7)(a); (b)(7)(d); (d)(5); (j)(1); (k)(1); (k)(2); DISC;,,,,,,,,,,,,
CIA,541234,N,,,,,10/17/2013,,9/10/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6); (j)(1); (k)(1); DISC;,,,,,,,,,,,,
CIA,541246,N,,,,,10/17/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,541477,N,,,,,10/23/2013,,,,Simple,,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,541660,N,,,,,10/30/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,541785,N,,,,,11/7/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,541848,N,,,,,11/8/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,541912,N,,,,,11/14/2013,,8/27/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (j)(1); (k)(1); DISC;,,,,,,,,,,,,
CIA,541962,N,,,,,11/18/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,542023,N,,,,,11/20/2013,,4/10/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,5/29/2019,,,,,,,,,,,
CIA,542097,N,,,,,11/22/2013,,9/17/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (j)(1); (k)(1); DISC;,,,,,,,,,,,,
CIA,542102,N,,,,,11/22/2013,,6/19/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (b)(7)(d); (b)(7)(e); (j)(1); (k)(1); (k)(5); DISC;,,,,,,,,,,,,
CIA,542245,N,,,,,12/2/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,542318,N,,,,,12/4/2013,,,,Complex,,,(b)(1); (b)(3); (b)(4); (b)(5); (b)(6); (b)(7)(d); (b)(7)(e); (d)(5); (j)(1); (k)(1); (k)(2); (k)(5); DISC;,,,,,,,,,,,,
CIA,542345,N,,,,,12/5/2013,,,,Simple,,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,542378,N,,,,,12/6/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,542402,N,,,,,12/9/2013,,4/15/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,542435,N,,,,,12/9/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,542543,N,,,,,12/17/2013,,8/26/2019,,Complex,Granted in Part,,(b)(3); (b)(6);,,,,,,,,,,,,
CIA,542554,N,,,,,12/17/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,542584,N,,,,,12/18/2013,,9/9/2019,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(6); (j)(1); (k)(1); DISC;,,,,,,,,,,,,
CIA,542594,N,,,,,12/18/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,542602,N,,,,,12/18/2013,,5/15/2019,,Complex,Granted in Part,,(b)(3); (b)(6);,,,,,,,,,,,,
CIA,542605,N,,,,,12/18/2013,,5/16/2019,,Complex,Granted in Part,,(b)(3); (b)(6);,,,,,,,,,,,,
CIA,542690,N,,,,,12/23/2013,,9/24/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (b)(7)(e); (j)(1); (k)(1); DISC;,,,,,,,,,,,,
CIA,542753,N,,,,,12/27/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,542760,N,,,,,12/30/2013,,,,Simple,,,,,,,,,,,,,,,
CIA,542781,N,,,,,12/31/2013,,,,Complex,,,,,,,,,,,,,,,
CIA,542802,N,,,,,1/3/2014,,,,Simple,,,,,,,,,,,,,,Granted,
CIA,542982,N,,,,,1/13/2014,,9/12/2018,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(5); (b)(6);,12/7/2018,,,,,,,,,,,
CIA,543021,N,,,,,1/14/2014,,4/2/2019,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(6); (j)(1); (k)(1); NR;,5/22/2019,,,,,,,,,,,
CIA,543341,N,,,,,1/28/2014,,6/7/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); (j)(1); (k)(1); (k)(6); DISC;,,,,,,,,,,,,
CIA,543563,N,,,,,2/5/2014,,,,Simple,,,,,,,,,,,,,,,
CIA,543640,N,,,,,2/7/2014,,4/30/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,543697,N,,,,,2/11/2014,,,,Simple,,,,,,,,,,,,,,,
CIA,544023,N,,,,,2/26/2014,,12/12/2018,,Complex,Granted in Part,,(b)(3); (b)(6);,,,,,,,,,,,,
CIA,544065,N,,,,,2/28/2014,,,,Simple,,,,,,,,,,,,,,,
CIA,544130,N,,,,,3/5/2014,,4/29/2019,,Complex,Denied in Full,,(b)(3); (b)(6); (j)(1);,,,,,,,,,,,,
CIA,544147,N,,,,,3/5/2014,,,,Simple,,,,,,,,,,,,,,,
CIA,544156,N,,,,,3/6/2014,,,,Simple,,,,,,,,,,,,,,,
CIA,544323,N,,,,,3/12/2014,,,,Simple,,,,,,,,,,,,,,,
CIA,544385,N,,,,,3/18/2014,,,,Simple,,,,,,,,,,,,,,,
CIA,544387,N,,,,,3/18/2014,,4/3/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(4); (b)(5); (b)(6); (b)(7)(c);,,,,,,,,,,,,
CIA,544388,N,,,,,3/18/2014,,,,Simple,,,,,,,,,,,,,,,
CIA,544392,N,,,,,3/18/2014,,,,Simple,,,,,,,,,,,,,,,
